obs,dataset,timestamp,candidate,pass
_201608311510,1,9229,200,53
_201609051647,1,10726,597,17
_201609070340,1,17933,76,6
_201611120632,1,28203,310,39
_201611132000,1,5078,302,15
_201611140501,1,13977,370,16
_201702241630,1,6488,43,2
_201702250130,2,13073,68,1
_201702250800,1,21426,0,0
_201702251405,1,14860,901,47
_201702260116,1,10669,0,0
_201702260800,1,21434,239,11
_201702261405,1,18436,621,35
_201702270350,1,4400,67,2
_201702280900,1,3512,23,0
_201809230412,1,17147,676,47
_201809280900,1,0,0,0
